日期,经度,纬度
2020-01-24,118.826813,36.718892
2020-01-24,118.826813,36.718892
2020-01-24,118.83827,36.699767
2020-01-24,118.83827,36.699767
2020-01-24,118.836153,36.708393
2020-01-24,120.380853,36.956895
2020-01-24,120.524301,36.865246
2020-01-24,118.814003,36.693182
2020-01-24,118.813916,36.693412
2020-01-24,118.83827,36.699767
2020-01-24,118.836153,36.708393
2020-01-24,116.689022,36.228235
2020-01-24,0.0,0.0
2020-01-24,116.689022,36.228235
2020-01-24,115.01591,30.395869
2020-01-24,116.817613,35.767769
2020-01-24,112.229648,30.058336
2020-01-24,120.415528,36.399964
2020-01-24,117.817406,35.51918
2020-01-24,117.761122,35.525857
2020-01-24,117.01059,36.717798
2020-01-24,0.0,0.0
2020-01-24,117.781693,35.89384
2020-01-24,0.0,0.0
2020-01-24,117.50222,36.018068
2020-01-24,0.0,0.0
2020-01-24,120.828811,36.587782
2020-01-24,120.455303,36.384614
2020-01-24,121.600512,37.386901
2020-01-24,122.116394,37.509691
2020-01-24,121.227915,37.529449
2020-01-24,0.0,0.0
2020-01-24,117.770596,35.904818
2020-01-24,0.0,0.0
2020-01-24,120.144584,36.085458
2020-01-24,0.0,0.0
2020-01-24,117.193069,37.788212
2020-01-24,0.0,0.0
2020-01-24,116.1482,36.074969
2020-01-24,116.46957,35.933432
2020-01-24,117.128616,36.685546
2020-01-24,120.988421,37.66007
2020-01-24,120.988421,37.66007
2020-01-24,122.057941,37.193886
2020-01-24,120.758171,36.927071
2020-01-24,120.703444,36.973283
2020-01-25,119.179161,36.84903
2020-01-25,0.0,0.0
2020-01-25,118.980996,36.352256
2020-01-25,118.923691,36.404122
2020-01-25,115.781476,36.112098
2020-01-25,115.782999,36.115283
2020-01-25,118.980996,36.352256
2020-01-25,118.923691,36.404122
2020-01-25,102.932521,25.100552
2020-01-25,117.216798,36.857233
2020-01-25,0.0,0.0
2020-01-25,0.0,0.0
2020-01-25,117.216798,36.857233
2020-01-25,116.454687,36.276589
2020-01-25,0.0,0.0
2020-01-25,0.0,0.0
2020-01-25,116.689022,36.228235
2020-01-25,0.0,0.0
2020-01-25,116.689022,36.228235
2020-01-25,0.0,0.0
2020-01-25,116.817613,35.767769
2020-01-25,116.793528,35.757101
2020-01-25,116.793528,35.757101
2020-01-25,116.817613,35.767769
2020-01-25,117.035703,36.172904
2020-01-25,116.266231,35.989783
2020-01-25,120.415528,36.399964
2020-01-25,120.425813,36.397607
2020-01-25,117.817406,35.51918
2020-01-25,0.0,0.0
2020-01-25,106.654234,29.718557
2020-01-25,117.216798,36.857233
2020-01-25,117.781693,35.89384
2020-01-25,0.0,0.0
2020-01-25,117.571079,34.865529
2020-01-25,0.0,0.0
2020-01-25,117.756996,36.85692
2020-01-25,0.0,0.0
2020-01-25,122.116394,37.509691
2020-01-25,121.600512,37.386901
2020-01-25,121.241073,37.559948
2020-01-25,0.0,0.0
2020-01-25,121.135914,37.377882
2020-01-25,121.185219,37.377533
2020-01-25,121.185219,37.377533
2020-01-25,121.239128,37.411747
2020-01-25,121.239128,37.411747
2020-01-25,121.276634,37.506615
2020-01-25,117.770596,35.904818
2020-01-25,0.0,0.0
2020-01-25,119.942657,37.169795
2020-01-25,119.979618,37.178717
2020-01-26,120.477813,37.646108
2020-01-26,0.0,0.0
2020-01-26,119.755597,36.382595
2020-01-26,0.0,0.0
2020-01-26,118.970717,36.35236
2020-01-26,118.980996,36.352256
2020-01-26,115.857963,28.683016
2020-01-26,117.120098,36.6512
2020-01-26,117.15067,36.191463
2020-01-26,117.101,36.1777
2020-01-26,118.970717,36.35236
2020-01-26,118.980996,36.352256
2020-01-26,116.689022,36.228235
2020-01-26,0.0,0.0
2020-01-26,116.689022,36.228235
2020-01-26,0.0,0.0
2020-01-26,116.817613,35.767769
2020-01-26,116.817934,35.768855
2020-01-26,117.11884,36.170434
2020-01-26,117.377622,36.215729
2020-01-26,117.377622,36.215729
2020-01-26,117.301219,35.891114
2020-01-26,120.415528,36.399964
2020-01-26,0.0,0.0
2020-01-26,117.817406,35.51918
2020-01-26,0.0,0.0
2020-01-26,114.316223,30.554235
2020-01-26,117.120098,36.6512
2020-01-26,121.317516,37.317425
2020-01-26,120.937657,36.969945
2020-01-26,120.703444,36.973283
2020-01-26,121.408486,37.528211
2020-01-27,118.980996,36.352256
2020-01-27,118.970717,36.35236
2020-01-27,118.970717,36.35236
2020-01-27,118.827979,36.697591
2020-01-27,116.000733,36.440461
2020-01-27,0.0,0.0
2020-01-27,116.000733,36.440461
2020-01-27,0.0,0.0
2020-01-27,117.124866,36.191562
2020-01-27,0.0,0.0
2020-01-27,117.15067,36.191463
2020-01-27,0.0,0.0
2020-01-27,118.980996,36.352256
2020-01-27,118.970717,36.35236
2020-01-27,118.970717,36.35236
2020-01-27,118.827979,36.697591
2020-01-27,120.33469,37.337191
2020-01-27,0.0,0.0
2020-01-27,110.805127,32.593465
2020-01-27,117.052453,36.676116
2020-01-27,117.079737,36.65386
2020-01-27,0.0,0.0
2020-01-27,116.689022,36.228235
2020-01-27,0.0,0.0
2020-01-27,116.689022,36.228235
2020-01-27,0.0,0.0
2020-01-27,116.817613,35.767769
2020-01-27,0.0,0.0
2020-01-27,120.415528,36.399964
2020-01-27,120.384599,36.062687
2020-01-27,117.817406,35.51918
2020-01-27,0.0,0.0
2020-01-27,120.937657,36.969945
2020-01-27,0.0,0.0
2020-01-27,120.711673,36.978941
2020-01-27,121.267741,37.498246
2020-01-27,117.580374,34.77297
2020-01-27,117.590936,34.766818
2020-01-27,117.590936,34.766818
